1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,2
9,1
10,1
11,1
12,1
13,7
14,7
15,7
16,3
17,3
18,3
19,5
20,8
21,8
22,8
23,9
24,9
25,9
26,10
27,11
28,11
29,11
30,12
31,13
32,13
33,13
34,14
35,14
36,14
37,15
38,16
39,16
40,16
41,17
42,17
43,17
44,18
45,18
46,18
47,19
48,19
49,20
50,20
51,21
52,21
53,21
54,22
55,22
56,22
57,23
58,24
59,24
60,24
61,25
62,25
63,26
64,26
65,27
66,27
67,27
68,28
69,28
70,29
71,30
72,30
73,30
74,31
75,32
76,32
77,33
78,34
79,34
80,35
81,36
82,36
83,37
84,38
85,39
86,40
87,40
88,41
89,42
90,42
91,43
92,43
93,44
94,45
95,46
96,47
18,48
24,49
25,50
26,51
27,52
38,51
41,53
59,55
61,56
63,57
66,58
68,29
70,29
26,59
27,60
38,61
26,62
