type_id,path,duraction,title,picture,created_at,album
1,/media/audio/r/a/Rammshtein – Du hast.mp3,00:04:27,Du Hast,/media/image/TestScreen_square.svg,2020-06-07,0
1,/media/audio/r/a/Rammstein – Engel.mp3,00:04:24,Engel,/media/image/TestScreen_square.svg,2020-06-07,0
1,/media/audio/r/a/Rammstein – Deutschland.mp3,00:05:34,Deutschland,/media/image/TestScreen_square.svg,2020-06-07,0
1,/media/audio/q/u/Queen - Greatest Hits - 01 - Bohemian Rhapsody.flac,00:05:55,Bohemian Rhapsody,/media/image/TestScreen_square.svg,2020-06-07,0
1,/media/audio/q/u/We Will Rock You   Queen.mp3,00:02:03,We Will Rock You,/media/image/TestScreen_square.svg,2020-06-07,0
1,/media/audio/q/u/2-03 Radio Ga Ga.mp3,00:05:49,Radio Ga Ga,/media/image/TestScreen_square.svg,2020-06-07,0
1,/media/audio/q/u/Queen – Don't Stop Me Now.mp3,00:03:30,Don’t Stop Me Now,/media/image/TestScreen_square.svg,2020-06-07,0
1,/media/audio/m/o/Monatik - LOVE IT ритм.mp3,00:03:55,Love It Ритм,/media/image/TestScreen_square.svg,2020-06-07,25
1,/media/audio/m/o/Кружит голову   Монатик.mp3,00:02:34,Кружит,/media/image/TestScreen_square.svg,2020-06-07,26
1,/media/audio/m/o/L'ONE feat. MONATIK – Сон 2016.mp3,00:03:10,Сон,/media/image/TestScreen_square.svg,2020-06-07,27
1,/media/audio/a/e/Vechnye_Hity-Aerosmith_-_Crazy_(GET.MP3-MUSIC.CLUB).mp3,00:05:17,Crazy,/media/image/TestScreen_square.svg,2020-06-07,28
1,/media/audio/a/e/aerosmith_aerosmit_-_amazing_(zf.fm).mp3,00:05:56,Amazing,/media/image/TestScreen_square.svg,2020-06-07,28
1,/media/audio/b/o/It s My Life   Bon Jovi.mp3,00:03:44,It’s my Live,/media/image/TestScreen_square.svg,2020-06-07,29
1,/media/audio/b/o/Always.mp3,00:05:55,Always,/media/image/TestScreen_square.svg,2020-06-07,30
1,/media/audio/b/o/Bon Jovi – Bad of roses.mp3,00:05:38,Bed of Roses,/media/image/TestScreen_square.svg,2020-06-07,31
1,/media/audio/t/h/01-Come Together Remastered 2009.mp3,00:04:19,Come Together,/media/image/TestScreen_square.svg,2020-06-07,32
1,/media/audio/t/h/The Beatles 1969 Abbey Road – Here Comes The Sun.mp3,00:03:06,Here Comes The Sun,/media/image/TestScreen_square.svg,2020-06-07,32
1,/media/audio/t/h/21666_The-Beatles-Hey-Jude.mp3,00:08:09,Hey Jude,/media/image/TestScreen_square.svg,2020-06-07,33
